,Latitude,Longitude,Altitude,Date
0,39.975556684,116.329036916,493,40757.3893171296
1,39.975583966,116.329045616,493,40757.3893287037
2,39.975562994,116.329013145,492,40757.3893402778
3,39.975550418,116.328979595,492,40757.3893518519
4,39.975529996,116.328964305,493,40757.3893634259
5,39.97551754,116.328940903,493,40757.389375
6,39.975499113,116.328911196,493,40757.3893865741
7,39.975481974,116.32886511,493,40757.3893981481
8,39.975459919,116.328830824,493,40757.3894097222
9,39.97545096,116.328774818,493,40757.3894212963
10,39.975450863,116.328683634,493,40757.3894328704
11,39.975440531,116.328648102,494,40757.3894444444
12,39.975434879,116.328614329,494,40757.3894560185
13,39.975435335,116.328594313,494,40757.3894675926
14,39.97544133,116.328558378,494,40757.3894791667
15,39.975442373,116.328524104,494,40757.3894907407
16,39.975436273,116.328477915,494,40757.3895023148
17,39.975432394,116.328429845,495,40757.3895138889
18,39.975430349,116.328378769,495,40757.389525463
19,39.975416527,116.32834313,495,40757.389537037
20,39.9754101,116.328295929,495,40757.3895486111
21,39.975414365,116.328243289,495,40757.3895601852
22,39.975423834,116.328194595,495,40757.3895717593
23,39.975432391,116.328149689,496,40757.3895833333
24,39.975436595,116.328113151,496,40757.3895949074
25,39.975443504,116.328083254,496,40757.3896064815
26,39.975442619,116.328039492,496,40757.3896180556
27,39.975433334,116.3279819,494,40757.3896296296
28,39.975422011,116.327918825,494,40757.3896412037
29,39.975420584,116.327866778,494,40757.3896527778
30,39.975418245,116.327825227,494,40757.3896643519
31,39.975413737,116.327760681,494,40757.3896759259
32,39.975364766,116.327642941,495,40757.3896875
33,39.97537204,116.327601752,495,40757.3896990741
34,39.975394716,116.327569314,495,40757.3897106481
35,39.975411328,116.327535674,495,40757.3897222222
36,39.975414735,116.327500714,495,40757.3897337963
37,39.975424121,116.327470301,495,40757.3897453704
38,39.975440057,116.32743873,495,40757.3897569444
39,39.975448763,116.327409931,496,40757.3897685185
40,39.975439692,116.327370925,496,40757.3897800926
41,39.975443244,116.327324158,496,40757.3897916667
42,39.975443311,116.327293927,496,40757.3898032407
43,39.97543707,116.327243329,496,40757.3898148148
44,39.975436686,116.327204567,496,40757.3898263889
45,39.975436044,116.327158353,496,40757.389837963
46,39.975429428,116.327112544,496,40757.389849537
