,Latitude,Longitude,Altitude,Date
7737,39.897968,116.366871,131,1221539356
7738,39.897974,116.366901,131,1221539356
7739,39.897965,116.366971,128,1221539357
7740,39.897965,116.367023,128,1221539359
7741,39.898016,116.367086,128,1221539360
7742,39.898073,116.36721,128,1221539361
7743,39.898081,116.367273,128,1221539363
7744,39.898049,116.367388,125,1221539364
7745,39.898043,116.367466,125,1221539364
7746,39.898038,116.367536,125,1221539365
7747,39.89803,116.367598,125,1221539367
7748,39.898026,116.367656,125,1221539368
7749,39.898014,116.36771,125,1221539368
7750,39.898023,116.367763,125,1221539369
7751,39.89801,116.36786,128,1221539372
7752,39.898008,116.367898,128,1221539372
7753,39.898003,116.367945,131,1221539373
7754,39.897976,116.36798,131,1221539375
7755,39.897941,116.368004,131,1221539376
7756,39.897899,116.368025,135,1221539376
7757,39.897853,116.368026,135,1221539377
7758,39.897794,116.368028,138,1221539379
7759,39.897725,116.368044,138,1221539380
7760,39.897538,116.368056,144,1221539381
7761,39.897394,116.36808,148,1221539383
7762,39.897278,116.368086,151,1221539383
7763,39.897141,116.368081,151,1221539384
7764,39.897009,116.368083,151,1221539386
7765,39.896848,116.368081,154,1221539387
7766,39.896688,116.368085,154,1221539387
7767,39.896539,116.368105,157,1221539388
7768,39.896396,116.368128,161,1221539390
7769,39.896104,116.368136,164,1221539391
7770,39.895948,116.368148,171,1221539392
7771,39.895806,116.36815,174,1221539394
7772,39.895661,116.368151,174,1221539395
7773,39.895516,116.368141,180,1221539395
7774,39.895378,116.36813,184,1221539396
7775,39.895241,116.368133,190,1221539398
7776,39.895108,116.368123,194,1221539399
7777,39.894959,116.368048,194,1221539399
7778,39.894721,116.368026,203,1221539402
7779,39.894596,116.368026,210,1221539403
7780,39.894489,116.368055,213,1221539403
7781,39.894386,116.368038,207,1221539404
7782,39.894303,116.368031,203,1221539406
7783,39.894233,116.368028,200,1221539407
7784,39.894173,116.368031,194,1221539407
7785,39.894126,116.368036,187,1221539409
7786,39.894081,116.368044,180,1221539410
7787,39.894009,116.368056,180,1221539411
7788,39.894003,116.368066,174,1221539413
7789,39.893985,116.36807,174,1221539414
7790,39.893978,116.36807,177,1221539414
7791,39.893971,116.368081,177,1221539415
7792,39.89397,116.368088,174,1221539417
7793,39.893971,116.368094,174,1221539418
7794,39.893973,116.368101,171,1221539418
7795,39.893976,116.368108,171,1221539419
7796,39.893981,116.368118,167,1221539422
7797,39.893985,116.368118,167,1221539422
7798,39.893985,116.368118,167,1221539423
7799,39.893985,116.368118,164,1221539425
7800,39.893986,116.368118,164,1221539426
7801,39.893988,116.368118,161,1221539426
7802,39.89399,116.368118,161,1221539427
7803,39.893991,116.368118,161,1221539429
7804,39.893993,116.368118,157,1221539430
7805,39.893996,116.368116,157,1221539431
7806,39.893998,116.368115,154,1221539433
7807,39.893998,116.368115,154,1221539434
7808,39.893998,116.368115,151,1221539434
7809,39.893996,116.368113,151,1221539436
7810,39.893993,116.368111,151,1221539437
7811,39.893993,116.368111,151,1221539437
7812,39.893993,116.368106,151,1221539438
7813,39.893994,116.368153,154,1221539442
7814,39.893994,116.368151,154,1221539444
7815,39.893994,116.368151,154,1221539445
7816,39.893994,116.36815,154,1221539445
7817,39.893994,116.36815,154,1221539446
7818,39.893996,116.36815,154,1221539448
7819,39.893996,116.368146,154,1221539449
7820,39.893996,116.368145,154,1221539449
7821,39.893993,116.368145,154,1221539452
7822,39.893986,116.368141,154,1221539453
7823,39.893976,116.368158,157,1221539453
7824,39.893946,116.368171,161,1221539454
7825,39.893904,116.368179,164,1221539456
7826,39.893866,116.368203,167,1221539457
7827,39.893818,116.368199,167,1221539457
7828,39.893773,116.368196,171,1221539458
7829,39.893698,116.368221,174,1221539460
7830,39.893536,116.368206,177,1221539461
7831,39.893448,116.368188,177,1221539463
7832,39.89335,116.368175,177,1221539464
7833,39.893238,116.368165,180,1221539464
7834,39.893121,116.368153,180,1221539465
7835,39.892996,116.368143,184,1221539467
7836,39.89287,116.368134,187,1221539468
7837,39.892741,116.36813,187,1221539468
7838,39.892616,116.368156,190,1221539469
7839,39.892341,116.368168,190,1221539472
7840,39.892188,116.368158,194,1221539472
7841,39.892004,116.36816,203,1221539473
7842,39.891841,116.368151,210,1221539475
7843,39.891678,116.368148,213,1221539476
7844,39.891508,116.368134,217,1221539476
7845,39.891339,116.368133,217,1221539477
7846,39.891173,116.368131,217,1221539479
7847,39.891008,116.36813,213,1221539480
7848,39.890688,116.36812,210,1221539481
7849,39.890524,116.368108,210,1221539483
7850,39.890371,116.368103,207,1221539484
7851,39.890218,116.368103,203,1221539484
7852,39.890058,116.368115,200,1221539485
7853,39.889888,116.368116,200,1221539487
7854,39.889721,116.368121,200,1221539488
7855,39.889559,116.368126,200,1221539488
7856,39.8894,116.36813,200,1221539489
7857,39.889081,116.368139,197,1221539491
7858,39.888928,116.368146,194,1221539492
7859,39.888773,116.368143,194,1221539494
7860,39.888613,116.368143,194,1221539495
7861,39.888451,116.368141,190,1221539495
7862,39.888293,116.368143,187,1221539496
7863,39.888133,116.368139,187,1221539498
7864,39.887979,116.368141,184,1221539499
7865,39.887821,116.368139,180,1221539499
7866,39.887524,116.36815,180,1221539502
7867,39.887376,116.368153,177,1221539503
7868,39.887224,116.368154,174,1221539503
7869,39.887073,116.368158,167,1221539504
7870,39.886921,116.368153,167,1221539506
7871,39.886756,116.36816,161,1221539507
7872,39.886606,116.368156,161,1221539507
7873,39.886446,116.36816,161,1221539508
7874,39.886286,116.368158,161,1221539510
7875,39.885963,116.368146,157,1221539511
7876,39.885788,116.368133,157,1221539513
7877,39.885605,116.368125,157,1221539514
7878,39.885416,116.368118,157,1221539515
7879,39.885225,116.368113,157,1221539515
7880,39.885033,116.3681,157,1221539516
7881,39.884838,116.368086,154,1221539518
7882,39.884643,116.368074,154,1221539518
7883,39.884456,116.36807,154,1221539519
7884,39.884091,116.36806,151,1221539522
7885,39.883915,116.368058,148,1221539522
7886,39.883748,116.368058,148,1221539523
7887,39.883593,116.368053,148,1221539525
7888,39.88345,116.368051,148,1221539526
7889,39.883314,116.368051,151,1221539526
7890,39.883199,116.368051,148,1221539527
7891,39.883096,116.368055,148,1221539529
7892,39.882998,116.368058,148,1221539530
7893,39.882813,116.368055,144,1221539531
7894,39.882728,116.368055,144,1221539533
7895,39.882639,116.368055,144,1221539534
7896,39.882561,116.368055,144,1221539534
7897,39.882491,116.368051,141,1221539535
7898,39.882433,116.368055,141,1221539537
7899,39.882378,116.368051,141,1221539538
7900,39.882323,116.368048,141,1221539538
7901,39.882266,116.368048,138,1221539539
7902,39.882136,116.368046,141,1221539542
7903,39.882068,116.368044,138,1221539542
7904,39.881994,116.368044,138,1221539544
7905,39.881918,116.36804,138,1221539545
7906,39.881833,116.36804,135,1221539545
7907,39.881734,116.368043,135,1221539546
7908,39.881631,116.368041,131,1221539548
7909,39.881521,116.368043,135,1221539549
7910,39.881395,116.368051,135,1221539549
7911,39.881136,116.368063,138,1221539552
7912,39.880995,116.368064,141,1221539553
7913,39.880843,116.368066,141,1221539553
7914,39.880701,116.368071,144,1221539554
7915,39.880555,116.36807,151,1221539556
7916,39.880396,116.368071,151,1221539557
7917,39.880233,116.368068,151,1221539557
7918,39.88007,116.36806,151,1221539558
7919,39.879913,116.368051,151,1221539560
7920,39.879611,116.368035,154,1221539561
7921,39.879456,116.368031,157,1221539562
7922,39.879298,116.368041,157,1221539564
7923,39.879141,116.368044,154,1221539565
7924,39.878988,116.368043,154,1221539565
7925,39.878828,116.368026,154,1221539566
7926,39.87867,116.368015,157,1221539568
7927,39.8785,116.368011,151,1221539569
7928,39.878321,116.36801,151,1221539569
7929,39.877954,116.368003,144,1221539572
7930,39.877761,116.368006,141,1221539572
7931,39.87758,116.368003,138,1221539573
7932,39.877408,116.368003,135,1221539575
7933,39.877238,116.368001,135,1221539576
7934,39.877063,116.367996,135,1221539576
7935,39.876886,116.367988,131,1221539577
7936,39.876698,116.367988,131,1221539579
7937,39.876504,116.367986,128,1221539580
7938,39.87612,116.367981,131,1221539581
7939,39.875923,116.367988,131,1221539583
7940,39.875714,116.367996,131,1221539584
7941,39.875508,116.367996,131,1221539584
7942,39.875296,116.368001,131,1221539585
7943,39.875081,116.367996,131,1221539587
7944,39.874859,116.367988,131,1221539588
7945,39.87464,116.36798,131,1221539588
7946,39.874421,116.367984,135,1221539589
7947,39.873978,116.367998,135,1221539592
7948,39.873756,116.368003,135,1221539592
7949,39.87354,116.368004,135,1221539593
7950,39.873326,116.36801,135,1221539595
7951,39.873118,116.368004,135,1221539596
7952,39.872908,116.368006,135,1221539596
7953,39.872701,116.368008,135,1221539598
7954,39.872494,116.368008,135,1221539599
7955,39.872291,116.368004,131,1221539599
7956,39.871893,116.368008,131,1221539602
7957,39.871693,116.36801,135,1221539603
7958,39.871499,116.368011,135,1221539603
7959,39.871306,116.368011,135,1221539604
7960,39.871121,116.368016,135,1221539606
7961,39.87095,116.368015,135,1221539607
7962,39.870788,116.368018,135,1221539607
7963,39.870639,116.368028,135,1221539608
7964,39.870504,116.368029,135,1221539610
7965,39.870259,116.368031,135,1221539611
7966,39.870156,116.368031,135,1221539612
7967,39.870068,116.368023,135,1221539614
7968,39.869996,116.368019,135,1221539615
7969,39.869941,116.368021,135,1221539615
7970,39.869895,116.368019,135,1221539616
7971,39.869859,116.368021,135,1221539618
7972,39.869606,116.368021,131,1221539707
7973,39.869521,116.368019,131,1221539708
7974,39.869419,116.368018,131,1221539710
7975,39.869209,116.368019,131,1221539711
7976,39.869093,116.368016,135,1221539712
7977,39.868976,116.368013,135,1221539714
7978,39.868868,116.36801,135,1221539715
7979,39.868761,116.368008,135,1221539715
7980,39.868651,116.368029,131,1221539716
7981,39.868526,116.368044,131,1221539718
7982,39.868394,116.368064,131,1221539719
7983,39.868265,116.368081,131,1221539719
7984,39.868016,116.368076,128,1221539722
7985,39.86789,116.368076,128,1221539723
7986,39.867765,116.368076,128,1221539723
7987,39.867643,116.368078,125,1221539724
7988,39.867521,116.368078,125,1221539726
7989,39.867401,116.368078,125,1221539727
7990,39.867286,116.368074,125,1221539727
7991,39.867174,116.368066,121,1221539729
7992,39.867061,116.36807,121,1221539730
7993,39.866833,116.368074,121,1221539731
7994,39.866725,116.36808,121,1221539733
7995,39.866631,116.368076,121,1221539734
7996,39.866551,116.368078,121,1221539734
7997,39.866483,116.36808,125,1221539735
7998,39.866428,116.368078,125,1221539737
7999,39.866381,116.36808,125,1221539738
8000,39.866351,116.368074,121,1221539738
8001,39.866335,116.368073,125,1221539739
8002,39.866314,116.368061,121,1221539742
8003,39.866316,116.368064,125,1221539742
8004,39.866318,116.368068,125,1221539743
8005,39.866329,116.368071,128,1221539745
8006,39.866329,116.368071,128,1221539746
8007,39.866331,116.368071,128,1221539746
8008,39.866335,116.368073,128,1221539747
8009,39.866338,116.368073,128,1221539749
8010,39.86634,116.368073,128,1221539750
8011,39.866343,116.368071,128,1221539751
8012,39.866344,116.368071,128,1221539753
8013,39.866346,116.36807,128,1221539754
8014,39.866348,116.36807,128,1221539754
8015,39.866348,116.36807,128,1221539756
8016,39.866344,116.368068,128,1221539757
8017,39.866335,116.368068,128,1221539757
8018,39.866275,116.368073,128,1221539758
8019,39.866223,116.36807,125,1221539760
8020,39.866101,116.368061,125,1221539761
8021,39.866026,116.368055,125,1221539762
8022,39.865958,116.368043,125,1221539764
8023,39.865894,116.368031,125,1221539765
8024,39.865816,116.368018,121,1221539765
8025,39.865743,116.368008,121,1221539766
8026,39.865666,116.367995,121,1221539768
8027,39.865588,116.367968,125,1221539769
8028,39.86552,116.367958,121,1221539769
8029,39.865366,116.367916,121,1221539772
8030,39.865291,116.367891,118,1221539773
8031,39.865206,116.367873,121,1221539773
8032,39.865119,116.36784,125,1221539774
8033,39.865016,116.367813,125,1221539776
8034,39.864908,116.367793,128,1221539777
8035,39.864789,116.367776,125,1221539777
8036,39.864671,116.36775,131,1221539779
8037,39.864553,116.367728,128,1221539780
8038,39.864334,116.367693,131,1221539781
8039,39.864223,116.367681,131,1221539782
8040,39.864113,116.367673,131,1221539784
8041,39.864008,116.367668,131,1221539784
8042,39.863914,116.367665,128,1221539785
8043,39.863838,116.367665,128,1221539787
8044,39.863779,116.367661,128,1221539788
8045,39.863734,116.367655,128,1221539788
8046,39.86371,116.36766,125,1221539789
8047,39.863698,116.367651,128,1221539792
8048,39.863701,116.367658,128,1221539792
8049,39.863701,116.367663,128,1221539793
8050,39.863701,116.367661,128,1221539795
8051,39.863701,116.367663,128,1221539796
8052,39.8637,116.367663,128,1221539796
8053,39.8637,116.367663,128,1221539797
8054,39.8637,116.367663,128,1221539799
8055,39.863693,116.367661,128,1221539800
8056,39.863668,116.367676,128,1221539801
8057,39.86365,116.367668,128,1221539803
8058,39.863614,116.36767,128,1221539804
8059,39.86358,116.36767,128,1221539804
8060,39.863541,116.367658,128,1221539806
8061,39.863485,116.367646,125,1221539807
8062,39.863431,116.367643,125,1221539808
8063,39.863374,116.367646,128,1221539808
