,Latitude,Longitude,Altitude,Date
0,39.897968,116.366871,131.0,2008-09-16 12:29:16
1,39.869606,116.368021,131.0,2008-09-16 12:35:07
2,39.863333,116.36899,164.0,2008-09-16 23:21:34
3,39.866859,116.368156,187.0,2008-09-16 23:25:03
4,39.869393,116.368248,138.0,2008-09-16 23:28:20
5,39.986963,116.327036,210.0,2008-09-16 23:58:10
6,39.987684,116.326818,226.0,2008-09-17 00:00:13
7,39.988759,116.326853,197.0,2008-09-17 00:02:06
8,39.863403,116.369029,151.0,2008-09-17 23:59:28
9,39.864156,116.367913,187.0,2008-09-18 00:01:12
10,39.867794,116.368106,203.0,2008-09-18 00:03:13
11,39.881979,116.368215,269.0,2008-09-18 00:07:29
12,39.886718,116.368064,233.0,2008-09-18 00:09:28
13,39.887918,116.368061,367.0,2008-09-18 00:11:59
14,39.89783,116.368321,240.0,2008-09-18 00:14:22
15,39.865085,116.358456,387.0,2008-09-19 00:45:27
16,39.984646,116.347386,203.0,2008-09-19 01:09:05
17,39.989398,116.326841,190.0,2008-09-19 01:15:09
18,39.990111,116.326798,138.0,2008-09-19 01:17:07
19,39.991128,116.326903,197.0,2008-09-19 01:20:18
20,39.863586,116.369023,79.0,2008-09-21 23:01:53
21,39.865019,116.367964,161.0,2008-09-21 23:05:00
22,39.865678,116.368105,121.0,2008-09-21 23:07:35
23,39.866849,116.36816,128.0,2008-09-21 23:11:32
24,39.876086,116.36822,141.0,2008-09-21 23:17:42
25,39.877355,116.368264,164.0,2008-09-21 23:19:51
26,39.881819,116.368303,177.0,2008-09-21 23:22:13
27,39.885418,116.368218,197.0,2008-09-21 23:25:57
28,39.887598,116.368416,187.0,2008-09-21 23:30:14
29,39.894028,116.368418,121.0,2008-09-21 23:33:22
30,39.895474,116.368379,203.0,2008-09-21 23:35:25
31,39.897993,116.367436,171.0,2008-09-22 11:47:30
32,39.877693,116.368041,141.0,2008-09-22 11:53:20
33,39.869631,116.368013,118.0,2008-09-22 11:56:03
34,39.863358,116.36899,154.0,2008-09-23 00:00:13
35,39.863434,116.367935,177.0,2008-09-23 00:02:06
36,39.865101,116.368101,180.0,2008-09-23 00:04:47
37,39.866813,116.368151,174.0,2008-09-23 00:10:14
38,39.868619,116.368148,154.0,2008-09-23 00:15:24
39,39.874726,116.368268,200.0,2008-09-23 00:18:26
40,39.876386,116.36826,187.0,2008-09-23 00:21:00
41,39.885898,116.368365,236.0,2008-09-23 00:25:29
42,39.893118,116.368365,174.0,2008-09-23 00:30:22
43,39.897396,116.368463,157.0,2008-09-23 00:34:10
44,39.897906,116.366915,167.0,2008-09-23 12:44:53
45,39.888396,116.368086,141.0,2008-09-23 12:48:14
46,39.869833,116.36796,144.0,2008-09-23 12:52:29
47,39.863633,116.369021,157.0,2008-09-24 00:00:31
48,39.863546,116.367876,151.0,2008-09-24 00:03:37
49,39.864798,116.368001,154.0,2008-09-24 00:12:40
50,39.866655,116.368235,157.0,2008-09-24 00:21:44
51,39.868349,116.368173,157.0,2008-09-24 00:25:40
52,39.873803,116.368301,131.0,2008-09-24 00:29:21
53,39.87499,116.368309,262.0,2008-09-24 00:31:20
54,39.876384,116.368371,144.0,2008-09-24 00:33:26
55,39.884783,116.368336,148.0,2008-09-24 00:38:40
56,39.885244,116.368381,144.0,2008-09-24 00:41:18
57,39.88592,116.368333,108.0,2008-09-24 00:43:53
58,39.886951,116.368458,102.0,2008-09-24 00:46:26
59,39.891293,116.368431,164.0,2008-09-24 00:48:17
60,39.891663,116.368408,141.0,2008-09-24 00:50:13
61,39.894306,116.368655,203.0,2008-09-24 00:53:43
62,39.987083,116.326868,174.0,2008-09-24 11:35:00
63,39.985076,116.327036,217.0,2008-09-24 11:38:03
64,39.898093,116.36697,52.0,2008-09-24 13:13:48
65,39.893986,116.368253,174.0,2008-09-24 13:16:01
66,39.888096,116.368076,72.0,2008-09-24 13:18:43
67,39.869768,116.367946,135.0,2008-09-24 13:24:07
68,39.863164,116.369006,171.0,2008-09-24 23:59:26
69,39.864071,116.367874,167.0,2008-09-25 00:00:33
70,39.866743,116.368228,171.0,2008-09-25 00:05:28
71,39.880825,116.368418,282.0,2008-09-25 00:12:27
72,39.885203,116.368383,164.0,2008-09-25 00:16:14
73,39.886029,116.368413,240.0,2008-09-25 00:18:58
74,39.887301,116.368163,220.0,2008-09-25 00:21:37
75,39.898123,116.366974,213.0,2008-09-25 10:42:04
76,39.894084,116.368178,131.0,2008-09-25 10:44:02
77,39.890798,116.36815,59.0,2008-09-25 10:45:51
78,39.889386,116.368025,138.0,2008-09-25 10:48:20
79,39.888246,116.368021,154.0,2008-09-25 10:50:55
80,39.881996,116.368064,164.0,2008-09-25 10:53:36
81,39.869873,116.367973,128.0,2008-09-25 10:57:21
82,39.86329,116.369009,253.0,2008-09-25 23:57:42
83,39.863348,116.368015,157.0,2008-09-25 23:58:40
84,39.864636,116.368074,148.0,2008-09-26 00:02:09
85,39.865703,116.368235,180.0,2008-09-26 00:04:59
86,39.866655,116.368236,115.0,2008-09-26 00:07:29
