,Latitude,Longitude,Altitude,Date
0,39.869859,116.368021,135.0,1221539618.0
1,39.86249,116.372473,184.0,1221539923.0
2,39.866606,116.368179,161.0,1221578587.0
3,39.869126,116.368235,138.0,1221578855.0
4,39.986699,116.327003,226.0,1221580616.0
5,39.987426,116.326856,220.0,1221580763.0
6,39.9885,116.326816,200.0,1221580862.0
7,39.991058,116.326898,213.0,1221581060.0
8,39.863925,116.36789,187.0,1221667209.0
9,39.867555,116.368123,213.0,1221667336.0
10,39.881731,116.368175,276.0,1221667598.0
11,39.886548,116.368176,226.0,1221667702.0
12,39.887694,116.367973,394.0,1221667830.0
13,39.897566,116.36826,292.0,1221668007.0
14,39.898098,116.368765,213.0,1221668093.0
15,39.984384,116.347468,167.0,1221757575.0
16,39.98913,116.326866,112.0,1221758061.0
17,39.989859,116.326839,135.0,1221758157.0
18,39.990873,116.326973,223.0,1221758338.0
19,39.991599,116.326336,200.0,1221758453.0
20,39.864791,116.367923,167.0,1222009411.0
21,39.865436,116.368053,138.0,1222009589.0
22,39.866599,116.368138,125.0,1222009766.0
23,39.875838,116.368226,128.0,1222010214.0
24,39.87709,116.368216,194.0,1222010307.0
25,39.88158,116.368285,177.0,1222010475.0
26,39.885171,116.368309,177.0,1222010615.0
27,39.887338,116.368324,171.0,1222010943.0
28,39.893788,116.368471,154.0,1222011139.0
29,39.895241,116.368548,164.0,1222011266.0
30,39.898078,116.368806,171.0,1222011408.0
31,39.877918,116.368074,141.0,1222055531.0
32,39.869881,116.368023,115.0,1222055670.0
33,39.862446,116.372781,187.0,1222055936.0
34,39.863228,116.368046,157.0,1222099232.0
35,39.864843,116.3681,138.0,1222099421.0
36,39.866569,116.368173,161.0,1222099588.0
37,39.868405,116.368151,157.0,1222100038.0
38,39.874495,116.36823,184.0,1222100246.0
39,39.876238,116.368281,144.0,1222100367.0
40,39.885638,116.368334,190.0,1222100586.0
41,39.89287,116.368416,161.0,1222100953.0
42,39.897151,116.36839,200.0,1222101166.0
43,39.898149,116.369346,174.0,1222101305.0
44,39.888606,116.36807,171.0,1222145206.0
45,39.870076,116.367963,148.0,1222145472.0
46,39.862813,116.371791,194.0,1222145783.0
47,39.863293,116.367923,177.0,1222185651.0
48,39.864541,116.367923,144.0,1222185983.0
49,39.86643,116.368176,180.0,1222186778.0
50,39.868084,116.368121,148.0,1222187029.0
51,39.873541,116.368255,131.0,1222187291.0
52,39.874761,116.368373,272.0,1222187431.0
53,39.876128,116.368351,161.0,1222187530.0
54,39.884524,116.368345,154.0,1222187827.0
55,39.885011,116.368334,128.0,1222188012.0
56,39.885781,116.368323,105.0,1222188143.0
57,39.886713,116.36841,102.0,1222188324.0
58,39.891066,116.368441,138.0,1222188448.0
59,39.891433,116.368431,174.0,1222188544.0
60,39.894068,116.368498,154.0,1222188776.0
61,39.898118,116.369243,259.0,1222189092.0
62,39.98533,116.326981,223.0,1222227363.0
63,39.975125,116.329156,197.0,1222227590.0
64,39.894131,116.368176,184.0,1222233295.0
65,39.888328,116.368019,72.0,1222233429.0
66,39.870021,116.367931,135.0,1222233764.0
67,39.862721,116.372448,190.0,1222234050.0
68,39.863839,116.367774,174.0,1222271990.0
69,39.866475,116.368218,138.0,1222272082.0
70,39.880639,116.368388,312.0,1222272669.0
71,39.88497,116.368336,154.0,1222272901.0
72,39.885826,116.368414,233.0,1222273047.0
73,39.887093,116.368228,220.0,1222273228.0
74,39.897896,116.368483,180.0,1222273501.0
75,39.894285,116.368108,135.0,1222310577.0
76,39.891008,116.368183,56.0,1222310707.0
77,39.889611,116.368093,128.0,1222310797.0
78,39.888508,116.36808,135.0,1222311001.0
79,39.882258,116.368086,141.0,1222311146.0
80,39.870133,116.367988,125.0,1222311375.0
81,39.861766,116.372388,167.0,1222311652.0
82,39.863236,116.368318,154.0,1222358274.0
83,39.864386,116.368018,135.0,1222358414.0
84,39.865438,116.368188,187.0,1222358645.0
85,39.866395,116.368221,141.0,1222358768.0
86,39.867466,116.368193,141.0,1222358930.0
87,39.868334,116.368179,154.0,1222359054.0
88,39.875856,116.368268,203.0,1222359350.0
89,39.881369,116.368443,276.0,1222359539.0
90,39.886698,116.368358,151.0,1222359675.0
91,39.898031,116.368958,184.0,1222360082.0
92,39.894548,116.368089,213.0,1222399693.0
93,39.888936,116.367931,292.0,1222399827.0
94,39.869961,116.367939,125.0,1222400163.0
95,39.862805,116.371946,141.0,1222400529.0
96,39.865353,116.36817,135.0,1222446730.0
97,39.866513,116.368195,105.0,1222446846.0
98,39.86778,116.368203,141.0,1222447104.0
99,39.921023,116.350964,430.0,1222448327.0
100,39.863756,116.367933,164.0,1222532367.0
101,39.86569,116.368199,75.0,1222532482.0
102,39.866376,116.368255,33.0,1222532632.0
103,39.867399,116.368134,121.0,1222532776.0
104,39.876796,116.368298,115.0,1222533034.0
105,39.885405,116.368361,118.0,1222533215.0
106,39.887275,116.368406,194.0,1222533499.0
107,39.894558,116.368478,194.0,1222533636.0
108,39.863368,116.369013,85.0,1223221904.0
109,39.863485,116.367818,148.0,1223222104.0
110,39.865776,116.368148,118.0,1223222451.0
111,39.866143,116.368233,118.0,1223222584.0
112,39.867824,116.368191,148.0,1223222675.0
113,39.876534,116.368321,148.0,1223223061.0
114,39.879488,116.368385,154.0,1223223336.0
115,39.88096,116.368489,226.0,1223223520.0
116,39.882594,116.368441,243.0,1223223696.0
117,39.882984,116.368353,174.0,1223223799.0
118,39.885081,116.368436,200.0,1223224245.0
119,39.886599,116.368456,197.0,1223224584.0
120,39.891163,116.368331,177.0,1223224932.0
121,39.891875,116.368326,161.0,1223225055.0
122,39.893106,116.368509,151.0,1223225175.0
123,39.896254,116.368791,325.0,1223225379.0
124,39.877619,116.367919,131.0,1223264204.0
125,39.864766,116.367838,108.0,1223264432.0
126,39.862888,116.372056,233.0,1223264640.0
127,39.865539,116.368175,177.0,1223308901.0
128,39.866523,116.368173,138.0,1223308990.0
129,39.867639,116.36821,131.0,1223309314.0
130,39.880205,116.368536,272.0,1223309607.0
131,39.880926,116.368534,318.0,1223309727.0
132,39.881554,116.368521,226.0,1223309830.0
133,39.885671,116.368421,213.0,1223309944.0
134,39.886603,116.368485,217.0,1223310044.0
135,39.892318,116.36872,256.0,1223310263.0
136,39.893634,116.368386,269.0,1223310371.0
137,39.898223,116.368575,233.0,1223310557.0
138,39.894685,116.368098,161.0,1223347951.0
139,39.883769,116.368046,108.0,1223348112.0
140,39.862618,116.371824,79.0,1223348660.0
141,39.865431,116.368238,200.0,1223396469.0
142,39.866336,116.368283,154.0,1223396559.0
143,39.875419,116.368289,184.0,1223396806.0
144,39.876896,116.368373,154.0,1223396940.0
145,39.881676,116.368399,161.0,1223397049.0
146,39.886879,116.368388,151.0,1223397169.0
147,39.897048,116.368468,328.0,1223397478.0
148,39.882181,116.367981,105.0,1223436510.0
149,39.862978,116.371698,125.0,1223436929.0
150,39.863809,116.367854,118.0,1223481687.0
151,39.865233,116.368071,112.0,1223481837.0
152,39.867041,116.368064,161.0,1223482031.0
153,39.876903,116.368318,125.0,1223482346.0
154,39.886401,116.368296,154.0,1223482604.0
155,39.893726,116.36859,161.0,1223483017.0
156,39.895078,116.368533,348.0,1223483164.0
157,39.894024,116.367945,190.0,1223523934.0
158,39.888774,116.368089,131.0,1223524062.0
159,39.870576,116.36799,135.0,1223524395.0
160,39.862608,116.372006,194.0,1223524732.0
161,39.863909,116.36798,217.0,1223567792.0
162,39.865036,116.368066,148.0,1223567963.0
163,39.866416,116.3683,161.0,1223568170.0
164,39.867726,116.368293,151.0,1223568321.0
165,39.876578,116.368354,161.0,1223568594.0
166,39.881733,116.368291,157.0,1223568776.0
167,39.886203,116.368224,171.0,1223568893.0
168,39.898098,116.368448,184.0,1223569355.0
169,39.894326,116.368218,92.0,1223608864.0
170,39.890456,116.36817,118.0,1223609022.0
171,39.889036,116.368134,154.0,1223609115.0
172,39.88221,116.36808,151.0,1223609318.0
173,39.877518,116.368004,151.0,1223609449.0
174,39.870081,116.36804,128.0,1223609558.0
175,39.864575,116.367836,151.0,1223609681.0
176,39.863041,116.371898,167.0,1223609902.0
177,39.863293,116.36812,148.0,1223826345.0
178,39.866223,116.368228,167.0,1223826476.0
179,39.867648,116.368178,177.0,1223826720.0
180,39.874085,116.368269,148.0,1223827060.0
181,39.877348,116.368276,1109.0,1223827268.0
182,39.885508,116.368264,312.0,1223827495.0
183,39.886139,116.368293,295.0,1223827650.0
184,39.887104,116.368291,220.0,1223827822.0
185,39.893078,116.36833,157.0,1223827950.0
186,39.888811,116.367986,161.0,1223867740.0
187,39.870226,116.368003,148.0,1223868104.0
188,39.862771,116.372026,197.0,1223868395.0
189,39.866344,116.368138,194.0,1223913790.0
190,39.867309,116.368126,135.0,1223913910.0
191,39.868323,116.368156,197.0,1223914049.0
192,39.876103,116.36833,144.0,1223914180.0
193,39.896564,116.369176,351.0,1223914697.0
194,40.034459,116.300523,135.0,1224003168.0
195,40.019796,116.308061,138.0,1224003476.0
196,40.018128,116.308443,138.0,1224003614.0
197,40.008508,116.328885,246.0,1224003901.0
198,39.993003,116.326398,220.0,1224004259.0
199,39.894233,116.36797,207.0,1224040265.0
200,39.888516,116.368101,164.0,1224040406.0
201,39.877636,116.367921,138.0,1224040617.0
202,39.869838,116.368011,148.0,1224040741.0
203,39.862856,116.372005,177.0,1224041027.0
204,39.867963,116.368141,144.0,1224086591.0
205,39.875128,116.368369,154.0,1224086817.0
206,39.876761,116.368356,135.0,1224086961.0
207,39.881088,116.368334,154.0,1224087058.0
208,39.884933,116.368268,164.0,1224087285.0
209,39.885728,116.368348,171.0,1224087493.0
210,39.886683,116.368293,177.0,1224087619.0
211,39.893759,116.368375,171.0,1224087847.0
212,39.888386,116.368068,125.0,1224128545.0
213,39.877848,116.36801,105.0,1224128798.0
214,39.862664,116.371859,131.0,1224129173.0
215,39.867118,116.368211,207.0,1224172714.0
216,39.876075,116.368316,144.0,1224172994.0
217,39.881569,116.368361,180.0,1224173179.0
218,39.886978,116.368466,167.0,1224173356.0
219,39.897899,116.368643,285.0,1224173739.0
220,39.931776,116.349448,187.0,1224215555.0
221,39.862506,116.372238,256.0,1224217005.0
222,39.866295,116.368206,194.0,1224430964.0
223,39.868119,116.36817,141.0,1224431152.0
224,39.879963,116.368271,194.0,1224431469.0
225,39.886265,116.368298,161.0,1224431686.0
226,39.887281,116.36842,167.0,1224431913.0
227,39.893093,116.368601,184.0,1224432017.0
228,39.898538,116.366835,200.0,1224432137.0
229,39.990309,116.326786,269.0,1224521918.0
230,39.928119,116.349724,138.0,1225420325.0
231,39.862574,116.372319,66.0,1225422381.0
232,39.868183,116.368224,174.0,1225485460.0
233,39.991879,116.334538,259.0,1225487092.0
234,39.991776,116.333031,223.0,1225487189.0
235,39.91509,116.462873,-7.0,1225767838.0
236,39.914301,116.469521,85.0,1225768014.0
237,39.912268,116.47065,102.0,1225768208.0
238,39.935945,116.338419,167.0,1225939094.0
239,39.922795,116.338203,52.0,1225939391.0
240,39.917758,116.338528,131.0,1225939589.0
241,39.908021,116.338196,135.0,1225939813.0
242,39.90784,116.337573,128.0,1225939954.0
243,39.903578,116.336895,174.0,1225940126.0
244,39.902711,116.336506,177.0,1225940236.0
245,39.89884,116.33604,121.0,1225940419.0
246,39.862708,116.371716,180.0,1225941275.0
247,39.87534,116.368263,177.0,1225985697.0
248,39.876924,116.368236,217.0,1225985851.0
249,39.881078,116.36822,240.0,1225985945.0
250,39.885871,116.36834,220.0,1225986076.0
251,39.893203,116.368405,174.0,1225986430.0
252,39.898034,116.368968,305.0,1225986592.0
253,39.990439,116.326921,230.0,1228063882.0
254,39.991376,116.326173,207.0,1228064014.0
255,39.888748,116.368029,135.0,1228510672.0
256,39.882163,116.367999,72.0,1228510830.0
257,39.8702,116.367945,112.0,1228510969.0
258,39.862948,116.371844,272.0,1228511354.0
259,39.991865,116.346993,141.0,1228624222.0
260,39.991728,116.334655,144.0,1228624353.0
261,39.991569,116.327301,210.0,1228624545.0
