Latitude,Longitude,Altitude,Date,DateStr,IsWeekend,Dis2Center,Dis2Destination,Weekday_0,Weekday_1,Weekday_2,Weekday_3,Weekday_4,Weekday_5,Weekday_6,Time_0,Time_3,Time_4,Time_8
39.863164,116.369006,171,1222271966,2008/9/24 23:59,0,663.1028351,0.129191277,0,0,1,0,0,0,0,0,0,0,1
39.863215,116.368733,115,1223222004,2008/10/5 23:53,1,663.1082821,0.083667881,0,0,0,0,0,0,1,0,0,0,1
39.863249,116.369033,118,1222532342,2008/9/28 0:19,1,663.1123085,0.109511279,0,0,0,0,0,0,1,1,0,0,0
39.863286,116.369023,138,1222446652,2008/9/27 0:30,1,663.1164143,0.241095029,0,0,0,0,0,1,0,1,0,0,0
39.86329,116.369009,253,1222358262,2008/9/25 23:57,0,663.1168475,0.059282213,0,0,0,1,0,0,0,0,0,0,1
39.863333,116.36899,164,1221578494,2008/9/16 23:21,0,663.1216131,0.370465253,0,1,0,0,0,0,0,0,0,0,1
39.863348,116.368015,157,1222358320,2008/9/25 23:58,0,663.1224861,0.115420777,0,0,0,1,0,0,0,0,0,0,1
39.863358,116.36899,154,1222099213,2008/9/23 0:00,0,663.1243929,0.081857489,0,1,0,0,0,0,0,1,0,0,0
39.863383,116.368981,167,1224430878,2008/10/19 23:41,1,663.1271652,0.330487043,0,0,0,0,0,0,1,0,0,0,1
39.863388,116.368901,144,1225485340,2008/11/1 4:35,1,663.1276555,0.536302072,0,0,0,0,0,1,0,1,0,0,0
39.863403,116.369029,151,1221667168,2008/9/17 23:59,0,663.1294284,0.113223787,0,0,1,0,0,0,0,0,0,0,1
39.86341,116.368981,259,1223396419,2008/10/8 0:20,0,663.1301673,0.233501265,0,0,1,0,0,0,0,1,0,0,0
39.863434,116.367935,177,1222099326,2008/9/23 0:02,0,663.1319838,0.157305508,0,1,0,0,0,0,0,1,0,0,0
39.863438,116.368971,131,1224086510,2008/10/16 0:01,0,663.1332725,0.50811988,0,0,0,1,0,0,0,1,0,0,0
39.863451,116.367866,213,1223826396,2008/10/12 23:46,1,663.1338182,0.309777362,0,0,0,0,0,0,1,0,0,0,1
39.863459,116.369058,95,1223913671,2008/10/14 0:01,0,663.1356789,0.330267686,0,1,0,0,0,0,0,1,0,0,0
39.863479,116.369116,233,1223826329,2008/10/12 23:45,1,663.1379504,0.087488929,0,0,0,0,0,0,1,0,0,0,1
