,Latitude,Longitude,Altitude,Date
2051,39.932378,116.42993,490,1216682396
2052,39.932312,116.429975,491,1216682397
2053,39.932227,116.430019,490,1216682400
2054,39.932145,116.43006,490,1216682402
2055,39.932104,116.430103,489,1216682403
2056,39.932078,116.429754,489,1216682405
2057,39.932076,116.429373,488,1216682407
2058,39.932077,116.429206,487,1216682410
2059,39.932087,116.429046,487,1216682411
2060,39.932101,116.428881,486,1216682414
2061,39.932108,116.428714,486,1216682415
2062,39.932118,116.42854,485,1216682418
2063,39.932117,116.428238,484,1216682419
2064,39.93212,116.427959,484,1216682422
2065,39.932134,116.427759,487,1216682423
2066,39.932156,116.427603,487,1216682426
2067,39.932212,116.427528,486,1216682427
2068,39.932417,116.427823,485,1216682430
2069,39.932452,116.42779,484,1216682431
2070,39.932502,116.427736,484,1216682434
2071,39.932576,116.427686,483,1216682435
2072,39.932695,116.427655,483,1216682438
2073,39.932861,116.427626,485,1216682439
2074,39.933026,116.427628,485,1216682442
2075,39.933175,116.427654,486,1216682443
2076,39.933339,116.427659,485,1216682446
2077,39.933499,116.427679,484,1216682447
2078,39.933645,116.427663,483,1216682450
2079,39.933758,116.427637,482,1216682451
2080,39.933877,116.427625,481,1216682454
2081,39.93401,116.427599,480,1216682456
2082,39.934154,116.427549,479,1216682457
2083,39.934306,116.427493,478,1216682460
2084,39.934468,116.427452,477,1216682461
2085,39.934659,116.427416,470,1216682464
2086,39.934864,116.427404,462,1216682465
2087,39.935073,116.427394,453,1216682468
2088,39.935283,116.427385,445,1216682469
2089,39.935484,116.427373,437,1216682472
2090,39.935693,116.427368,428,1216682473
2091,39.935898,116.427383,418,1216682476
2092,39.936126,116.42738,410,1216682477
2093,39.936324,116.427384,398,1216682480
2094,39.93651,116.427374,385,1216682481
2095,39.936678,116.42733,384,1216682484
2096,39.936834,116.427291,373,1216682485
2097,39.936938,116.427249,371,1216682488
2098,39.937089,116.42723,370,1216682489
2099,39.937246,116.427236,384,1216682492
2100,39.93745,116.427216,399,1216682493
2101,39.93771,116.427222,412,1216682496
2102,39.937972,116.427208,415,1216682497
2103,39.938232,116.4272,410,1216682500
2104,39.938493,116.427186,408,1216682501
2105,39.938756,116.427165,404,1216682504
2106,39.939033,116.427163,401,1216682506
2107,39.939319,116.427157,398,1216682508
2108,39.93962,116.42715,396,1216682509
2109,39.939916,116.42714,394,1216682511
2110,39.940212,116.427135,391,1216682514
2111,39.940513,116.42712,389,1216682515
2112,39.940806,116.427103,388,1216682518
2113,39.941083,116.427092,386,1216682519
2114,39.941349,116.427093,386,1216682522
2115,39.94159,116.427114,385,1216682523
2116,39.941779,116.427128,383,1216682526
2117,39.941932,116.427133,382,1216682527
2118,39.942061,116.427127,380,1216682530
2119,39.942153,116.427101,378,1216682531
2120,39.942222,116.427113,376,1216682534
2121,39.942286,116.427134,373,1216682535
2122,39.942359,116.427161,370,1216682538
2123,39.942433,116.427156,369,1216682539
2124,39.942518,116.427153,365,1216682542
2125,39.942562,116.427067,364,1216682543
2126,39.942673,116.427051,361,1216682546
2127,39.942796,116.427064,358,1216682547
2128,39.942936,116.427076,355,1216682550
2129,39.943095,116.427093,353,1216682551
2130,39.943259,116.427097,351,1216682554
2131,39.943427,116.427106,349,1216682555
2132,39.943608,116.427127,347,1216682558
2133,39.943788,116.427155,347,1216682559
2134,39.943973,116.427189,346,1216682562
2135,39.944151,116.427231,345,1216682564
2136,39.944305,116.427286,344,1216682565
2137,39.944414,116.42732,346,1216682568
2138,39.944467,116.427349,345,1216682569
2139,39.944485,116.427366,347,1216682572
2140,39.9448,116.427992,194,1216682573
2141,39.944875,116.427945,196,1216682576
2142,39.944958,116.427929,193,1216682577
2143,39.945005,116.427931,188,1216682580
2144,39.944997,116.427933,185,1216682581
2145,39.944999,116.427922,180,1216682584
2146,39.945006,116.427922,180,1216682585
2147,39.945012,116.427921,179,1216682588
2148,39.945044,116.427917,179,1216682589
2149,39.945112,116.427909,178,1216682592
2150,39.945178,116.427905,180,1216682593
2151,39.945257,116.427904,181,1216682596
2152,39.945337,116.427908,182,1216682597
2153,39.945385,116.42791,183,1216682600
2154,39.945401,116.427918,180,1216682601
2155,39.945403,116.427925,176,1216682604
2156,39.945406,116.427925,174,1216682605
2157,39.945407,116.427926,172,1216682608
2158,39.945409,116.427925,171,1216682609
2159,39.945448,116.427922,170,1216682612
2160,39.945499,116.427925,170,1216682614
2161,39.945521,116.427929,169,1216682616
2162,39.945538,116.427924,169,1216682618
2163,39.945574,116.427911,170,1216682620
2164,39.945633,116.427906,168,1216682622
2165,39.945703,116.427911,168,1216682623
2166,39.945785,116.427917,166,1216682626
2167,39.945828,116.427919,168,1216682627
2168,39.945841,116.427921,171,1216682630
2169,39.94585,116.427922,173,1216682631
2170,39.945854,116.427922,175,1216682634
2171,39.945855,116.427914,177,1216682635
2172,39.945866,116.427885,179,1216682638
2173,39.945874,116.427854,181,1216682639
2174,39.945884,116.427824,183,1216682642
2175,39.945895,116.427804,186,1216682643
2176,39.945907,116.427795,189,1216682646
2177,39.94593,116.427789,191,1216682647
2178,39.945962,116.427789,192,1216682650
2179,39.945999,116.427798,194,1216682651
2180,39.946036,116.427818,195,1216682654
2181,39.94607,116.427843,197,1216682655
2182,39.946098,116.427861,199,1216682658
2183,39.946121,116.427867,200,1216682659
2184,39.946146,116.427874,201,1216682662
2185,39.946174,116.42789,202,1216682663
2186,39.946204,116.427905,203,1216682666
2187,39.946239,116.427916,204,1216682667
2188,39.946257,116.427927,205,1216682670
2189,39.946259,116.427931,206,1216682671
2190,39.946205,116.427895,204,1216682674
2191,39.946233,116.427893,204,1216682675
2192,39.946311,116.427898,202,1216682678
2193,39.946359,116.427908,199,1216682680
2194,39.946388,116.427912,197,1216682681
2195,39.946414,116.427898,195,1216682684
2196,39.946454,116.427912,191,1216682685
2197,39.946501,116.427918,190,1216682688
2198,39.946542,116.427915,190,1216682689
2199,39.946577,116.427918,189,1216682692
2200,39.946599,116.427915,188,1216682693
2201,39.946616,116.427914,186,1216682696
2202,39.946626,116.427907,182,1216682697
2203,39.946625,116.427903,180,1216682700
2204,39.946625,116.427902,180,1216682701
2205,39.946625,116.427902,180,1216682704
2206,39.94663,116.427906,169,1216682705
2207,39.946642,116.427881,154,1216682708
2208,39.946655,116.427865,155,1216682709
2209,39.946676,116.42785,152,1216682712
2210,39.946705,116.427845,147,1216682713
2211,39.946705,116.427828,144,1216682716
2212,39.9467,116.427814,143,1216682717
2213,39.946723,116.427807,144,1216682720
2214,39.946762,116.427826,152,1216682721
2215,39.946781,116.427846,154,1216682724
2216,39.946787,116.42785,154,1216682725
